Bryan Adams - Run To You.webm,1920,1080,vp9,39.61
Housemartins - Happy Hour.webm,640,480,vp9,6.48
Shania Twain - Man! I Feel Like A Woman.webm,1920,1080,vp9,57.47
Kylie Minogue - Can't Get You Out Of My Head.webm,1920,1080,vp9,65.93
Butcher Babies - Igniter.webm,1920,1080,vp9,55.91
Catatonia - Road Rage.webm,1280,720,vp9,45.23
The Runaways - Cherry Bomb.webm,1920,1080,vp9,35.46
Pantera - Walk.webm,3840,2160,vp9,553.07
Murderdolls - White Wedding.webm,640,360,vp9,12.84
Supergrass - Alright.webm,1920,1080,vp9,62.53
The Offspring - Come Out And Play.webm,640,480,vp9,15.58
Placebo - Nancy Boy.webm,600,480,vp9,11.88
Frankie Goes To Hollywood - The Power Of Love.webm,1920,1080,vp9,24.92
Burning Witches - Flight Of The Valkyries.webm,1920,1080,vp9,96.86
The Coral - Don't Think You're the First.webm,852,480,vp9,27.29
Ugly Kid Joe - Cats In The Cradle.webm,640,480,vp9,9.17
George Ezra - Budapest.webm,1920,1080,vp9,38.4
David Bowie - Ashes To Ashes.webm,640,480,vp9,17.21
Tenacious D - Wonderboy.webm,852,480,vp9,11.97
Halestorm - I Get Off.webm,1920,1080,vp9,50.39
Hole - Violet.webm,1920,1080,vp9,53.64
Placebo - Pure Morning.webm,960,720,vp9,25.45
The Sisters of Mercy - This Corrosion.webm,1280,720,vp9,48.38
Electric Six - Danger! High Voltage.webm,640,480,vp9,14.63
Velvet Revolver - Slither.webm,640,480,vp9,19.03
R.E.M. - What's The Frequency Kenneth.webm,640,480,vp9,17.1
Nirvana - Come As You Are.webm,1920,1080,vp9,29.58
James - Say Something.webm,640,480,vp9,12.89
Guns N' Roses - You Could Be Mine.webm,1920,1080,vp9,96.93
Blur - To The End.webm,640,480,vp9,10.6
U2 - Discothèque.webm,1920,1080,vp9,93.05
Elvis Costello & The Attractions - Pump It Up.webm,1920,1080,vp9,38.08
Radiohead - Just.webm,1920,1080,vp9,47.88
Anthrax - Indians.webm,640,480,vp9,22.31
Gorillaz - Clint Eastwood.webm,1280,720,vp9,24.36
Airbourne - It's All For Rock N' Roll.webm,1920,1080,vp9,66.16
Cher - Just Like Jessie James.webm,1280,720,vp9,19.86
Ocean Colour Scene - The Day We Caught The Train.webm,640,480,vp9,16.57
Manic Street Preachers - Everything Must Go.webm,854,480,vp9,15.27
The Bangles - Manic Monday.webm,640,480,vp9,14.03
The Wildhearts - I Wanna Go Where The People Go.webm,1920,1080,vp9,73.44
Royal Blood - Figure It Out.webm,1920,1080,vp9,32.66
WWE - Triple H Entrance.webm,1280,720,vp9,17.65
The Sisters of Mercy - Dominion Mother Russia.webm,960,720,vp9,28.26
Meat Loaf - Two Out Of Three Ain't Bad.webm,640,480,vp9,16.22
DevilDriver - Not All Who Wander Are Lost.webm,640,480,vp9,15.41
Leaves' Eyes - Hell To The Heavens.webm,1920,1080,vp9,79.94
The Cooper Temple Clause - Let's Kill Music.webm,640,480,vp9,20.24
Echobelly - King Of The Kerb.webm,640,480,vp9,16.38
System Of A Down - Aerials.webm,1920,1080,vp9,46.12
Andrew W.K. - Party Hard.webm,640,480,vp9,16.94
Megadeth - Wake Up Dead.webm,1920,1080,vp9,76.48
Tenacious D - Tribute.webm,640,480,vp9,23.01
Mötley Crüe - Kickstart My Heart.webm,488,360,vp9,13.88
P!NK - Just Like A Pill.webm,640,480,vp9,11.93
Manic Street Preachers - The Everlasting.webm,854,480,vp9,23.75
The Streets - Dry Your Eyes.webm,656,480,vp9,8.74
Chris Cornell- You Know My Name.webm,1440,1080,vp9,29.25
Pantera - Cemetery Gates.webm,640,480,vp9,26.05
